"","YearStart","LocationAbbr","LocationDesc","Topic","Question","DataValueType","DataValue","StratificationCategory1","Stratification1"
"7057",2017,"CO","Colorado","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4416,"Overall","Overall"
"7058",2015,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7071",2014,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7072",2010,"AZ","Arizona","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",259,"Race/Ethnicity","American Indian or Alaska Native"
"7076",2019,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3325,"Race/Ethnicity","White, non-Hispanic"
"7079",2018,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",91,"Race/Ethnicity","American Indian or Alaska Native"
"7087",2018,"SC","South Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3141,"Race/Ethnicity","White, non-Hispanic"
"7092",2015,"UT","Utah","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1510,"Overall","Overall"
"7097",2012,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",45,"Race/Ethnicity","Hispanic"
"7099",2019,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",982,"Overall","Overall"
"7104",2018,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1277,"Race/Ethnicity","Black, non-Hispanic"
"7105",2019,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",91,"Race/Ethnicity","Hispanic"
"7106",2017,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",33,"Race/Ethnicity","Asian or Pacific Islander"
"7108",2014,"CT","Connecticut","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",23,"Race/Ethnicity","Asian or Pacific Islander"
"7113",2018,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7115",2011,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1802,"Race/Ethnicity","Black, non-Hispanic"
"7118",2014,"AL","Alabama","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1094,"Race/Ethnicity","Black, non-Hispanic"
"7120",2014,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",923,"Overall","Overall"
"7121",2017,"UT","Utah","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1370,"Race/Ethnicity","White, non-Hispanic"
"7127",2020,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",15200,"Overall","Overall"
"7138",2015,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2556,"Gender","Female"
"7141",2011,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7145",2010,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7148",2010,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2298,"Gender","Male"
"7150",2012,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4485,"Overall","Overall"
"7151",2018,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7156",2011,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2769,"Overall","Overall"
"7157",2014,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7158",2010,"SC","South Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2361,"Race/Ethnicity","White, non-Hispanic"
"7166",2010,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",8429,"Overall","Overall"
"7168",2010,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",47,"Race/Ethnicity","Asian or Pacific Islander"
"7169",2016,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2244,"Race/Ethnicity","Black, non-Hispanic"
"7174",2015,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",277,"Gender","Female"
"7176",2010,"UT","Utah","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",629,"Gender","Male"
"7182",2017,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7184",2020,"TX","Texas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5009,"Race/Ethnicity","Black, non-Hispanic"
"7185",2010,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",274,"Overall","Overall"
"7192",2020,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",551,"Race/Ethnicity","Asian or Pacific Islander"
"7193",2017,"NY","New York","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6433,"Gender","Female"
"7196",2016,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1804,"Gender","Female"
"7199",2011,"CT","Connecticut","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2009,"Overall","Overall"
"7202",2019,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7203",2011,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7204",2012,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7206",2017,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",555,"Race/Ethnicity","White, non-Hispanic"
"7207",2014,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",921,"Race/Ethnicity","White, non-Hispanic"
"7208",2020,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",520,"Gender","Female"
"7209",2013,"AL","Alabama","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7212",2016,"CA","California","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",17515,"Gender","Male"
"7216",2019,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",557,"Gender","Male"
"7221",2014,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7228",2020,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1247,"Race/Ethnicity","White, non-Hispanic"
"7231",2016,"TX","Texas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",11351,"Race/Ethnicity","White, non-Hispanic"
"7232",2015,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2911,"Gender","Male"
"7236",2018,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5212,"Race/Ethnicity","White, non-Hispanic"
"7237",2010,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6490,"Gender","Male"
"7240",2016,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",86,"Race/Ethnicity","Black, non-Hispanic"
"7244",2020,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1762,"Race/Ethnicity","Black, non-Hispanic"
"7245",2013,"CT","Connecticut","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",140,"Race/Ethnicity","Hispanic"
"7246",2020,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",109,"Race/Ethnicity","Hispanic"
"7248",2019,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",60,"Race/Ethnicity","Hispanic"
"7253",2010,"AL","Alabama","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1882,"Gender","Male"
"7257",2017,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",813,"Gender","Female"
"7258",2015,"NY","New York","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",564,"Race/Ethnicity","Asian or Pacific Islander"
"7267",2011,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",395,"Gender","Female"
"7273",2019,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5866,"Race/Ethnicity","White, non-Hispanic"
"7274",2016,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",39,"Race/Ethnicity","Black, non-Hispanic"
"7275",2014,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4437,"Race/Ethnicity","White, non-Hispanic"
"7283",2016,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",10196,"Race/Ethnicity","White, non-Hispanic"
"7284",2015,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",949,"Gender","Female"
"7285",2016,"HI","Hawaii","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",189,"Race/Ethnicity","White, non-Hispanic"
"7287",2018,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5826,"Overall","Overall"
"7290",2019,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3733,"Gender","Male"
"7291",2016,"CO","Colorado","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",223,"Race/Ethnicity","Black, non-Hispanic"
"7292",2016,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",103,"Race/Ethnicity","Asian or Pacific Islander"
"7295",2019,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",256,"Race/Ethnicity","Asian or Pacific Islander"
"7305",2016,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3848,"Race/Ethnicity","White, non-Hispanic"
"7312",2010,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",986,"Gender","Male"
"7320",2016,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",504,"Gender","Male"
"7321",2020,"NY","New York","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3821,"Race/Ethnicity","Hispanic"
"7331",2017,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",623,"Race/Ethnicity","Hispanic"
"7334",2010,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",947,"Overall","Overall"
"7335",2017,"MA","Massachusetts","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7340",2014,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",65,"Race/Ethnicity","Hispanic"
"7342",2013,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1849,"Race/Ethnicity","White, non-Hispanic"
"7347",2020,"AL","Alabama","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",45,"Race/Ethnicity","Hispanic"
"7348",2016,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1857,"Gender","Male"
"7349",2012,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",685,"Gender","Male"
"7350",2011,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",318,"Gender","Female"
"7353",2015,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1664,"Gender","Female"
"7354",2016,"MO","Missouri","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",612,"Race/Ethnicity","Black, non-Hispanic"
"7357",2015,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",125,"Gender","Female"
"7362",2019,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4050,"Overall","Overall"
"7363",2014,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",40,"Race/Ethnicity","Hispanic"
"7367",2015,"AR","Arkansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1142,"Gender","Female"
"7369",2013,"TX","Texas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",31,"Race/Ethnicity","American Indian or Alaska Native"
"7371",2016,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3922,"Race/Ethnicity","White, non-Hispanic"
"7373",2012,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3574,"Race/Ethnicity","White, non-Hispanic"
"7374",2013,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1110,"Race/Ethnicity","White, non-Hispanic"
"7377",2015,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7378",2020,"AR","Arkansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4093,"Overall","Overall"
"7382",2010,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",51,"Race/Ethnicity","American Indian or Alaska Native"
"7385",2015,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",65,"Race/Ethnicity","Hispanic"
"7389",2012,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2948,"Gender","Male"
"7390",2017,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",208,"Race/Ethnicity","Hispanic"
"7393",2011,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",883,"Gender","Male"
"7398",2014,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",526,"Gender","Male"
"7402",2017,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",35,"Race/Ethnicity","American Indian or Alaska Native"
"7403",2018,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"7404",2018,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",530,"Race/Ethnicity","Black, non-Hispanic"
"7411",2015,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",641,"Gender","Male"
"7414",2019,"NY","New York","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",7757,"Gender","Male"
"7415",2013,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5344,"Race/Ethnicity","White, non-Hispanic"
"7416",2014,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1766,"Race/Ethnicity","White, non-Hispanic"
"7419",2012,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7420",2013,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"7424",2019,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2487,"Overall","Overall"
"7425",2017,"KY","Kentucky","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7429",2013,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",342,"Gender","Male"
"7430",2015,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2309,"Gender","Male"
"7439",2012,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4034,"Gender","Male"
"7441",2013,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1414,"Race/Ethnicity","Black, non-Hispanic"
"7442",2019,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",130,"Race/Ethnicity","American Indian or Alaska Native"
"7444",2012,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",30,"Race/Ethnicity","American Indian or Alaska Native"
"7446",2011,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",10706,"Race/Ethnicity","White, non-Hispanic"
"7448",2017,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"7451",2010,"KY","Kentucky","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2112,"Gender","Male"
"7452",2014,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4254,"Race/Ethnicity","White, non-Hispanic"
"7453",2020,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4535,"Gender","Female"
"7456",2013,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7457",2018,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2720,"Gender","Male"
"7461",2011,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",557,"Overall","Overall"
"7462",2020,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1341,"Overall","Overall"
"7463",2012,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",59,"Race/Ethnicity","American Indian or Alaska Native"
"7464",2015,"SC","South Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",31,"Race/Ethnicity","Hispanic"
"7468",2020,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",367,"Race/Ethnicity","Hispanic"
"7470",2013,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7473",2011,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",812,"Race/Ethnicity","White, non-Hispanic"
"7474",2010,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",526,"Gender","Male"
"7475",2010,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1342,"Gender","Male"
"7476",2015,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1884,"Gender","Female"
"7479",2014,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",221,"Race/Ethnicity","White, non-Hispanic"
"7480",2018,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3597,"Gender","Male"
"7484",2013,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"7486",2016,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7501",2020,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",288,"Race/Ethnicity","White, non-Hispanic"
"7504",2018,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",301,"Race/Ethnicity","Asian or Pacific Islander"
"7507",2020,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4303,"Race/Ethnicity","White, non-Hispanic"
"7508",2011,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7512",2016,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5766,"Overall","Overall"
"7514",2014,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",193,"Race/Ethnicity","Asian or Pacific Islander"
"7515",2020,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7518",2014,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7522",2018,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2068,"Overall","Overall"
"7524",2013,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",393,"Race/Ethnicity","Black, non-Hispanic"
"7525",2014,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7526",2020,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",72,"Race/Ethnicity","Black, non-Hispanic"
"7527",2012,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1526,"Gender","Female"
"7528",2013,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",473,"Race/Ethnicity","Hispanic"
"7531",2017,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",45,"Race/Ethnicity","American Indian or Alaska Native"
"7532",2013,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1762,"Race/Ethnicity","Hispanic"
"7534",2012,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2791,"Gender","Female"
"7535",2013,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",655,"Race/Ethnicity","White, non-Hispanic"
"7537",2013,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3803,"Race/Ethnicity","White, non-Hispanic"
"7538",2017,"TX","Texas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",12327,"Gender","Male"
"7540",2010,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",62,"Race/Ethnicity","Hispanic"
"7545",2013,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2959,"Gender","Female"
"7547",2010,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"7548",2019,"HI","Hawaii","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7549",2013,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"7550",2012,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1889,"Gender","Female"
"7551",2020,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",200,"Race/Ethnicity","Asian or Pacific Islander"
"7553",2017,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1260,"Race/Ethnicity","Black, non-Hispanic"
"7574",2017,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1276,"Race/Ethnicity","Black, non-Hispanic"
"7575",2018,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",9908,"Gender","Male"
"7576",2016,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2826,"Gender","Female"
"7577",2011,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",103,"Race/Ethnicity","Asian or Pacific Islander"
"7579",2019,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"7580",2012,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2981,"Gender","Male"
"7584",2019,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",611,"Race/Ethnicity","American Indian or Alaska Native"
"7586",2012,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",21,"Race/Ethnicity","American Indian or Alaska Native"
"7592",2017,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",25,"Race/Ethnicity","American Indian or Alaska Native"
"7594",2014,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6932,"Race/Ethnicity","White, non-Hispanic"
"7595",2019,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",173,"Race/Ethnicity","Asian or Pacific Islander"
"7598",2018,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3980,"Gender","Male"
"7599",2015,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1038,"Overall","Overall"
"7603",2014,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7604",2019,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",159,"Race/Ethnicity","Asian or Pacific Islander"
"7605",2018,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",156,"Race/Ethnicity","Asian or Pacific Islander"
"7607",2015,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",8237,"Overall","Overall"
"7614",2012,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"7616",2017,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3162,"Race/Ethnicity","White, non-Hispanic"
"7618",2020,"NC","North Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3221,"Race/Ethnicity","Black, non-Hispanic"
"7619",2019,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",63,"Race/Ethnicity","Hispanic"
"7623",2012,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"7635",2012,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",121,"Race/Ethnicity","Hispanic"
"7640",2012,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",92,"Race/Ethnicity","American Indian or Alaska Native"
"7642",2017,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",533,"Gender","Male"
"7652",2010,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"7654",2013,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2237,"Race/Ethnicity","Black, non-Hispanic"
"7658",2019,"CA","California","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4494,"Race/Ethnicity","Asian or Pacific Islander"
"7659",2015,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1561,"Overall","Overall"
"7660",2015,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3059,"Gender","Male"
"7664",2020,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2560,"Race/Ethnicity","Black, non-Hispanic"
"7668",2016,"MA","Massachusetts","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",324,"Race/Ethnicity","Black, non-Hispanic"
"7670",2010,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1109,"Race/Ethnicity","Black, non-Hispanic"
"7671",2019,"NY","New York","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",664,"Race/Ethnicity","Asian or Pacific Islander"
"7672",2013,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
