"YearStart","LocationAbbr","LocationDesc","Topic","Question","DataValueType","DataValue","StratificationCategory1","Stratification1"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","1013","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","86","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Black, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","American Indian or Alaska Native"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","3.24","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","153","Overall","Overall"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","3.99","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","3.73","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.4","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","50","Gender","Female"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.7","Race/Ethnicity","White, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","2552","Gender","Female"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","129","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","503","Gender","Female"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","3.08","Race/Ethnicity","American Indian or Alaska Native"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.3","Overall","Overall"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.8","Gender","Male"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.09","Race/Ethnicity","Asian or Pacific Islander"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","112","Gender","Male"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","2.45","Overall","Overall"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","American Indian or Alaska Native"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.23","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","2.1","Gender","Male"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.6","Overall","Overall"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","2.76","Overall","Overall"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","89.5","Gender","Male"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","264","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","140","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","65.0","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","87","Race/Ethnicity","White, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","4.57","Race/Ethnicity","American Indian or Alaska Native"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.6","Gender","Male"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","0.83","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","154","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","2.80","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","2.2","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","2326","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.8","Gender","Female"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","0.69","Race/Ethnicity","Asian or Pacific Islander"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.7","Overall","Overall"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.6","Overall","Overall"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","3.48","Gender","Male"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","3.28","Race/Ethnicity","Hispanic"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","80","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","41","Gender","Female"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","363","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","20","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","2.92","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","4.20","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.1","Gender","Female"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","44","Gender","Female"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","4936","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","5.28","Race/Ethnicity","American Indian or Alaska Native"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","143","Overall","Overall"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","1705","Gender","Male"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","63","Gender","Male"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","1.24","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.9","Gender","Male"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","American Indian or Alaska Native"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","628","Gender","Female"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","3.01","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","2.1","Overall","Overall"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","3.51","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","87","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","67.8","Gender","Female"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","3.55","Gender","Male"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","43","Race/Ethnicity","Asian or Pacific Islander"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","1810","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.4","Overall","Overall"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","3.74","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","61","Gender","Female"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","1.15","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.9","Gender","Male"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","53.2","Gender","Female"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","67","Gender","Female"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","194","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","4.20","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","124","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.7","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","2.58","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","2.69","Race/Ethnicity","Black, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","1318","Overall","Overall"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","6.0","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","269","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","3.23","Gender","Male"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","1.38","Gender","Female"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","2.3","Gender","Male"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","116","Overall","Overall"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","2.39","Overall","Overall"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","621","Gender","Female"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","63","Gender","Female"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","53.1","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.35","Gender","Female"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","2.2","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","1520","Race/Ethnicity","White, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.8","Overall","Overall"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.4","Overall","Overall"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.03","Race/Ethnicity","Asian or Pacific Islander"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","2.62","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.2","Gender","Female"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Asian or Pacific Islander"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","41","Race/Ethnicity","American Indian or Alaska Native"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.6","Gender","Female"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.58","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","2.45","Overall","Overall"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","112.19","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","7509","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","162.17","Gender","Male"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","5921","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","104.10","Race/Ethnicity","Asian or Pacific Islander"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","72.57","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","183.33","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","173.95","Race/Ethnicity","White, non-Hispanic"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","184.98","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","165.19","Overall","Overall"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","180.99","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","2004","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","261.42","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","92.60","Race/Ethnicity","Asian or Pacific Islander"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","146.97","Overall","Overall"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","135.85","Overall","Overall"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","99.60","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","69119","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","196.88","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","139.10","Gender","Female"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","4631","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","159.23","Gender","Male"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","43652","Gender","Female"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","61559","Gender","Female"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","150.88","Overall","Overall"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","149.53","Overall","Overall"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","124.15","Gender","Female"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","175.55","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","151.80","Overall","Overall"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","158.24","Gender","Female"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","181.70","Race/Ethnicity","American Indian or Alaska Native"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","160.32","Overall","Overall"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","191.92","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","151.37","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","151.53","Overall","Overall"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","143.35","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","5846","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","168.05","Gender","Male"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","88862","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","88.48","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","194.26","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","185.89","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","157.37","Gender","Male"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","76.23","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","7107","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","178.96","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","127.55","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","5557","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","154.06","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","107.49","Race/Ethnicity","Asian or Pacific Islander"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","64007","Gender","Male"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","143.11","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","137.47","Gender","Female"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","87.94","Race/Ethnicity","Asian or Pacific Islander"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","137.57","Gender","Female"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","45184","Gender","Male"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","137.26","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","6544","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","188.80","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","65.12","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","5823","Race/Ethnicity","Asian or Pacific Islander"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","167.52","Gender","Male"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","150.06","Gender","Male"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","112216","Overall","Overall"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","163.47","Gender","Female"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","156.45","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","139.51","Gender","Female"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","2075","Race/Ethnicity","American Indian or Alaska Native"
2014,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","177.64","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","53936","Gender","Female"
2016,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","59511","Gender","Female"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","163.39","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","165.03","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Age-adjusted Rate","261.46","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Crude Rate","77.38","Race/Ethnicity","Hispanic"
